fecha,milisegundos,Nombre_episodio,razon_comienzo,razon_fin,aleatorio,saltado,idnt_episodio,idnt_comienzo,idnt_fin
2022-06-11 00:41:16+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-06-11 07:32:58+00:00,8484,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-06-14 14:58:17+00:00,1838945,COMPLACIENTES | La Pija y la Quinqui 1x20,clickrow,unexpected-exit-while-paused,False,False,37,4,5
2022-06-15 14:35:35+00:00,1726340,COMPLACIENTES | La Pija y la Quinqui 1x20,clickrow,endplay,False,False,37,4,2
2022-06-19 14:41:47+00:00,72766,No.056 - Música de piano para estudiar,clickrow,unexpected-exit-while-paused,False,False,38,4,5
2022-06-19 17:51:53+00:00,545097,REFERENTES | La Pija y la Quinqui 1x21,clickrow,endplay,False,False,39,4,2
2022-06-20 22:14:32+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-06-21 05:21:43+00:00,17887,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-06-24 16:51:28+00:00,1900987,REFERENTES | La Pija y la Quinqui 1x21,clickrow,unexpected-exit-while-paused,False,False,39,4,5
2022-06-24 17:24:22+00:00,1960562,REFERENTES | La Pija y la Quinqui 1x21,appload,trackdone,False,False,39,1,1
2022-06-25 14:14:08+00:00,1562,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,trackdone,unexpected-exit-while-paused,False,False,12,2,5
2022-06-27 16:52:04+00:00,1977871,ABURRIDAS | La Pija y la Quinqui 1x22,clickrow,unexpected-exit-while-paused,False,False,40,4,5
2022-06-27 16:52:12+00:00,5969,ABURRIDAS | La Pija y la Quinqui 1x22,appload,endplay,False,False,40,1,2
2022-07-01 06:05:06+00:00,1922028,ABURRIDAS | La Pija y la Quinqui 1x22,clickrow,unexpected-exit-while-paused,False,False,40,4,5
2022-07-01 06:05:21+00:00,1577,ABURRIDAS | La Pija y la Quinqui 1x22,appload,endplay,False,False,40,1,2
2022-07-05 15:50:47+00:00,928623,FIESTA LA QUE TE VA A DAR ESTA | La Pija y la Quinqui 1x23,clickrow,endplay,False,False,41,4,2
2022-07-06 14:53:28+00:00,1882765,FIESTA LA QUE TE VA A DAR ESTA | La Pija y la Quinqui 1x23,clickrow,unexpected-exit-while-paused,False,False,41,4,5
2022-07-06 15:10:28+00:00,1011882,FIESTA LA QUE TE VA A DAR ESTA | La Pija y la Quinqui 1x23,appload,endplay,False,False,41,1,2
